reaction_id,manual_relevancia,llm_relevancia,match_relevancia,manual_tema,llm_tema,match_tema,manual_emocao,llm_emocao,match_emocao,manual_polaridade,llm_polaridade,match_polaridade,manual_intencao,llm_intencao,match_intencao
04f0bd72e12726cb,RELEVANTE,RELEVANTE,TRUE,DIRETORIA,DIRETORIA,TRUE,RAIVA,RAIVA,TRUE,NEGATIVO,NEGATIVO,TRUE,COBRANCA,CRITICA,FALSE
0c603ef2d22dd120,RELEVANTE,RELEVANTE,TRUE,RIVALIDADE,DESEMPENHO_EM_CAMPO,FALSE,RAIVA,RAIVA,TRUE,NEGATIVO,NEGATIVO,TRUE,PROVOCACAO,CRITICA,FALSE
14d9e4415c8bda7e,RELEVANTE,RELEVANTE,TRUE,DESEMPENHO_EM_CAMPO,CATEGORIA_BASE,FALSE,FRUSTRACAO,FRUSTRACAO,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
205deac3e67647f4,RELEVANTE,RELEVANTE,TRUE,DESEMPENHO_EM_CAMPO,DESEMPENHO_EM_CAMPO,TRUE,IRONIA,IRONIA,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
2935259613b40931,RELEVANTE,RELEVANTE,TRUE,CONTRATACAO,CONTRATACAO,TRUE,RAIVA,FRUSTRACAO,FALSE,NEGATIVO,NEGATIVO,TRUE,COBRANCA,COBRANCA,TRUE
2aabaaa64cd5536e,RELEVANTE,RELEVANTE,TRUE,COMUNICACAO_DO_CLUBE,COMUNICACAO_DO_CLUBE,TRUE,FRUSTRACAO,FRUSTRACAO,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
35d587abe951df47,RELEVANTE,RELEVANTE,TRUE,DESEMPENHO_EM_CAMPO,OUTRO,FALSE,FRUSTRACAO,FRUSTRACAO,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
41ced19eed799552,RELEVANTE,RELEVANTE,TRUE,COMUNICACAO_DO_CLUBE,CATEGORIA_BASE,FALSE,NEUTRO,NEUTRO,TRUE,NEUTRO,NEUTRO,TRUE,PERGUNTA,PERGUNTA,TRUE
41d7d5276e73ed44,POUCO_INFORMATIVO,RELEVANTE,FALSE,ELENCO,ELENCO,TRUE,RAIVA,RAIVA,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
43a76c2fd290cacd,RELEVANTE,RELEVANTE,TRUE,TECNICO,TECNICO,TRUE,RAIVA,RAIVA,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
4d4e4d68d36c3d1b,RELEVANTE,RELEVANTE,TRUE,ELENCO,ELENCO,TRUE,IRONIA,IRONIA,TRUE,NEGATIVO,NEGATIVO,TRUE,PROVOCACAO,CRITICA,FALSE
4e45a77d1086b8b7,RELEVANTE,RELEVANTE,TRUE,DESEMPENHO_EM_CAMPO,DESEMPENHO_EM_CAMPO,TRUE,FRUSTRACAO,FRUSTRACAO,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
68cb447542e494b2,RELEVANTE,RELEVANTE,TRUE,ELENCO,ELENCO,TRUE,IRONIA,IRONIA,TRUE,NEGATIVO,NEGATIVO,TRUE,MEME_PIADA,CRITICA,FALSE
6bfc8afc0dde956e,RELEVANTE,RELEVANTE,TRUE,DESEMPENHO_EM_CAMPO,COMUNICACAO_DO_CLUBE,FALSE,IRONIA,IRONIA,TRUE,NEGATIVO,NEGATIVO,TRUE,MEME_PIADA,CRITICA,FALSE
6ff6971602527469,RELEVANTE,RELEVANTE,TRUE,ELENCO,DESEMPENHO_EM_CAMPO,FALSE,IRONIA,IRONIA,TRUE,NEGATIVO,NEGATIVO,TRUE,MEME_PIADA,CRITICA,FALSE
7fb5ad44f36b2247,POUCO_INFORMATIVO,RELEVANTE,FALSE,OUTRO,DESEMPENHO_EM_CAMPO,FALSE,FRUSTRACAO,FRUSTRACAO,TRUE,NEGATIVO,NEGATIVO,TRUE,OUTRO,CRITICA,FALSE
80dbb51bd9a7553c,RELEVANTE,RELEVANTE,TRUE,DESEMPENHO_EM_CAMPO,DESEMPENHO_EM_CAMPO,TRUE,FRUSTRACAO,FRUSTRACAO,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
8105f42cfad58c93,RELEVANTE,RELEVANTE,TRUE,PRODUTO_OFICIAL,PRODUTO_OFICIAL,TRUE,RAIVA,RAIVA,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
94b6a56826c71ce9,RELEVANTE,RELEVANTE,TRUE,DESEMPENHO_EM_CAMPO,CATEGORIA_BASE,FALSE,ESPERANCA,FRUSTRACAO,FALSE,MISTO,NEGATIVO,FALSE,COBRANCA,COBRANCA,TRUE
9c606c66fb5ad832,RELEVANTE,RELEVANTE,TRUE,COMUNICACAO_DO_CLUBE,CATEGORIA_BASE,FALSE,IRONIA,FRUSTRACAO,FALSE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
9d812f849c805229,RELEVANTE,RELEVANTE,TRUE,TECNICO,CATEGORIA_BASE,FALSE,FRUSTRACAO,FRUSTRACAO,TRUE,NEGATIVO,NEGATIVO,TRUE,COBRANCA,CRITICA,FALSE
